Kind,ID,Url,Title,Description,Pinned
YouTube,ok3kajIFHow,,Entity Framework Tutorial with ASP.NET MVC,Entity Framework (EF) is an object-relational mapper that enables .NET developers to work with relational data using domain-specific objects. It eliminates the need for most of the data-access code that developers usually need to write.,1
YouTube,Z7713GBhi4k,,What is Entity Framework,Entity Framework is an ORM framework. ORM stands for Object Relational Mapping.,1
YouTube,ZX7_12fwQLU,,Entity Framework 6 Tutorial: Learn Entity Framework 6 from Scratch,Entity Framework 6 Tutorial: learn how to store and query data using Entity Framework 6.,1
YouTube,VYa7EdMnP4E,,"Entity Framework Core 2.0: data, mobile, server, IoT, and more","Entity Framework (EF) Core is a lightweight, extensible, and cross-platform version of the popular Entity Framework data access technology. In this demo-filled session we look at what's new in EF Core and what the team has planned for upcoming releases.",
YouTuble,FxLqn79G1vw,,What's new in Entity Framework Core 2 0,"Entity Framework (EF) Core is the lightweight, extensible, and cross-platform version of Entity Framework, the popular Object/Relational Mapping (O/RM) framework for .NET. This talk will give a quick look at the new features for .NET Core 2.0. ",
YouTuble,QgTguBcBp94,,Entity Framework - Migrations,"Code Based Migration. When you develop a new application, your data model changes frequently, and each time the model changes, it gets out of sync with the database. You have configured the Entity Framework to automatically drop and re-create the database each time you change the data model.",
YouTuble,sZEvfQ0D8Mg,,Step-By-Step Entity Framework Migrations,Entity Framework Automatic Migrations. Entity Framework Code-Based Migrations. Entity Framework Mixed Migrations,
YouTuble,hg3H_pAzoPI,,Entity Framework - Insert Update and Delete in C#,Entity Framework - Insert Update and Delete in C# Using SQL Server. In this tutorial we have discussed how to implement CRUD Operations Insert Update Delete and Select in Entity Framework Using C# and SQL Server.,
YouTube,sxrft6sChFw,,"Create, Read, Update and Delete Data Operation Using Entity Framework(CRUD Operation)","Create Data Operation Using Entity Framework, Read Data Operation Using Entity Framework, Update Data Operation Using Entity Framework, Delete Data Operation Using Entity Framework, Asp.Net, MVC, LINQ, HTML.",
YouTube,hWE6gsG8O-Q,,CRUD Operations In ASP.NET MVC 5 Using Entity Framework,This video tutorial explains about creating CRUD operations in ASP.NET MVC 5 using Entity Framework .,
YouTube,iwEG1M2ONrw,,Entity Framework Tutorial - Simple Repository Pattern C#,This video demonstrates how to set up Entity Framework using a simple generic repository pattern.,
YouTube,AwiN__AkYdk,,Entity Framework Using Repository & Unit of Work Pattern [C#],In this video we explore using Entity Framework with the Repository and Unit of Work pattern to access data in our database.,
YouTube,QwwfTWMrM9k,,URF (Unit of Work & Repository Framework) in ASP.NET MVC 5 with Entity Framework 6 & Unity 3 - v2,,
YouTube,VGRvi4-1VhA,,WPF Entity Framewok CRUD Create / Insert Read Update Delete,"In this project I'm making a WPF Entity Framework CRUD ( Create / Insert, Read, Update, Delete ). I made this project simplest and the easiest way to make people understand how Entity Framework Crud system works in with WPF.",
YouTube,sPEfn1xcwLk,,WPF Entity Framework Select - Insert - Update - Delete,C# WPF Form Entitiy Framework Connection Select insert update delete,
YouTube,HbDOhCjjxSY,,"Entity Framework 5.0 - Code First, no Database - Part 1 of 2",Quick video showing the basics of Entity Framework 5.0 Code first with no Database.,
YouTube,i7SDd5JcjN4,,Entity Framework 5.0 - Code First Migrations - How to update a database schema Part 2 of 2,In this video I quickly go over using EF migrations to add and remove columns from the existing database that was initially created with code first.,
YouTube,BOrLrvEtAfw,,Entity Framework 5.0 - Intro to Model First - Part 1 of 2,"Quick introduction to Model First, broken down into 2 parts.",
YouTube,Fbjhv2ft8Lc,,Entity Framework 5.0 - Intro to Model First - Part 2 of 2,"Quick introduction to Model First, broken down into 2 parts.",
YouTube,K4x6eoG7hwY,,C# Entity Framework 6 | Database First | Part 1 - Basic CRUD,"An introduction to Entity Framework 6 using C# for complete beginners. I cover traditional CRUD operations (select, insert, update, and delete) and explain how the Entity Framework simplifies your data access code and removes the need for low-level ADO.NET objects.",
